Card ID,Card Name,Expansion,Collection No.,Stage/Type,Rule,Category,Previous stage,HP,Type,Weakness,Resistance (Type),Retreat,hp_int,retreat_int,moves_json,move_count
22,Hippopotas,DRI,105,Basic Pokemon,,,,90,{F},{G},,3,90,3,"[{""card_id"": ""22"", ""move_name"": ""Push Down"", ""cost"": ""{F}"", ""damage"": ""10"", ""damage_int"": 10, ""effect"": ""Switch out your opponent’s Active Pokemon to the Bench. (Your opponent chooses the new Active Pokemon.)""}]",1
23,Hippowdon,DRI,106,Stage 1 Pokemon,,,Hippopotas,160,{F},{G},,4,160,4,"[{""card_id"": ""23"", ""move_name"": ""Ram"", ""cost"": ""{F}{F}"", ""damage"": ""60"", ""damage_int"": 60, ""effect"": """"}, {""card_id"": ""23"", ""move_name"": ""Super Sandstorm"", ""cost"": ""{F}{F}●"", ""damage"": ""150"", ""damage_int"": 150, ""effect"": ""This attack also does 40 damage to each Benched Pokemon that has any damage counters on it (both yours and your opponent’s). (Don’t apply Weakness and Resistance for Benched Pokemon.)""}]",2
24,Team Rocket's Kangaskhan ex,ASC,162,Basic Pokemon,Pokemon ex,Trainer's Pokemon（Team Rocket）,,230,{C},{F},,2,230,2,"[{""card_id"": ""24"", ""move_name"": ""Comet Punch"", ""cost"": ""●●"", ""damage"": ""30×"", ""damage_int"": 30, ""effect"": ""Flip 4 coins. This attack does 30 damage for each heads.""}, {""card_id"": ""24"", ""move_name"": ""Wicked Impact"", ""cost"": ""●●●"", ""damage"": ""120"", ""damage_int"": 120, ""effect"": ""If you played a Supporter card that has “Team Rocket” in its name from your hand during this turn, this attack does 100 more damage.""}]",2
25,Pinsir,TWM,3,Basic Pokemon,,,,110,{G},{R},,2,110,2,"[{""card_id"": ""25"", ""move_name"": ""Slow Crunch"", ""cost"": ""{G}●"", ""damage"": """", ""damage_int"": null, ""effect"": ""Discard all Energy from this Pokemon. At the end of your opponent’s next turn, the Defending Pokemon will be Knocked Out.""}, {""card_id"": ""25"", ""move_name"": ""Superpowered Horns"", ""cost"": ""{G}●●"", ""damage"": ""100"", ""damage_int"": 100, ""effect"": """"}]",2
26,Leafeon,TWM,11,Stage 1 Pokemon,,,Eevee,120,{G},{R},,1,120,1,"[{""card_id"": ""26"", ""move_name"": ""Leaflet Blessings"", ""cost"": ""●"", ""damage"": """", ""damage_int"": null, ""effect"": ""Attach a Basic {G} Energy card from your hand to 1 of your Benched Pokemon. If you do, heal all damage from that Pokemon.""}, {""card_id"": ""26"", ""move_name"": ""Solar Beam"", ""cost"": ""{G}●"", ""damage"": ""70"", ""damage_int"": 70, ""effect"": """"}]",2
27,Iron Leaves,TWM,19,Basic Pokemon,,Future,,120,{G},{R},,1,120,1,"[{""card_id"": ""27"", ""move_name"": ""Recovery Net"", ""cost"": ""{G}"", ""damage"": """", ""damage_int"": null, ""effect"": ""Put up to 2 Pokemon from your discard pile into your hand.""}, {""card_id"": ""27"", ""move_name"": ""Avenging Edge"", ""cost"": ""{G}●●"", ""damage"": ""100"", ""damage_int"": 100, ""effect"": ""If any of your Pokemon were Knocked Out by damage from an attack during your opponent’s last turn, this attack does 60 more damage.""}]",2
28,Poltchageist,TWM,20,Basic Pokemon,,,,30,{G},{R},,1,30,1,"[{""card_id"": ""28"", ""move_name"": ""[Ability] Storehouse Hideaway"", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""As long as this Pokemon is on your Bench, prevent all damage from and effects of attacks from your opponent’s Pokemon done to this Pokemon.""}, {""card_id"": ""28"", ""move_name"": ""Hook"", ""cost"": ""{G}"", ""damage"": ""10"", ""damage_int"": 10, ""effect"": """"}]",2
29,Sinistcha ex,TWM,23,Stage 1 Pokemon,Pokemon ex,,Poltchageist,240,{G},{R},,1,240,1,"[{""card_id"": ""29"", ""move_name"": ""Re-Brew"", ""cost"": ""●"", ""damage"": """", ""damage_int"": null, ""effect"": ""Put 2 damage counters on 1 of your opponent’s Pokemon for each Basic {G} Energy card in your discard pile. Then, shuffle those Energy cards into your deck.""}, {""card_id"": ""29"", ""move_name"": ""Matcha Splash"", ""cost"": ""{G}●"", ""damage"": ""120"", ""damage_int"": 120, ""effect"": ""Heal 30 damage from each of your Pokemon.""}]",2
30,Magcargo ex,TWM,29,Stage 1 Pokemon,Pokemon ex,Tera(Fire),Slugma,270,{R},{W},,3,270,3,"[{""card_id"": ""30"", ""move_name"": ""[Tera]"", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""As long as this Pokemon is on your Bench, prevent all damage done to this Pokemon by attacks (both yours and your opponent’s).""}, {""card_id"": ""30"", ""move_name"": ""Hot Magma"", ""cost"": ""{R}●"", ""damage"": ""70"", ""damage_int"": 70, ""effect"": ""Your opponent’s Active Pokemon is now Burned.""}, {""card_id"": ""30"", ""move_name"": ""Ground Burn"", ""cost"": ""{R}{R}●"", ""damage"": ""140"", ""damage_int"": 140, ""effect"": ""Discard the top card of each player’s deck. This attack does 140 more damage for each Energy card discarded in this way.""}]",3
31,Chi-Yu,TWM,39,Basic Pokemon,,,,110,{R},{W},,1,110,1,"[{""card_id"": ""31"", ""move_name"": ""Allure"", ""cost"": ""●"", ""damage"": """", ""damage_int"": null, ""effect"": ""Draw 2 cards.""}, {""card_id"": ""31"", ""move_name"": ""Ground Melter"", ""cost"": ""{R}●"", ""damage"": ""60"", ""damage_int"": 60, ""effect"": ""If a Stadium is in play, this attack does 60 more damage. Then, discard that Stadium.""}]",2
32,Glaceon,TWM,54,Stage 1 Pokemon,,,Eevee,120,{W},{M},,1,120,1,"[{""card_id"": ""32"", ""move_name"": ""Permeating Chill"", ""cost"": ""{W}"", ""damage"": ""30"", ""damage_int"": 30, ""effect"": ""At the end of your opponent’s next turn, put 9 damage counters on the Defending Pokemon.""}, {""card_id"": ""32"", ""move_name"": ""Icicle Missile"", ""cost"": ""{W}●"", ""damage"": ""70"", ""damage_int"": 70, ""effect"": """"}]",2
33,Froakie,TWM,56,Basic Pokemon,,,,60,{W},{L},,1,60,1,"[{""card_id"": ""33"", ""move_name"": ""Flock"", ""cost"": ""{W}"", ""damage"": """", ""damage_int"": null, ""effect"": ""Search your deck for up to 2 Froakie and put them onto your Bench. Then, shuffle your deck.""}, {""card_id"": ""33"", ""move_name"": ""Flop"", ""cost"": ""{W}"", ""damage"": ""10"", ""damage_int"": 10, ""effect"": """"}]",2
34,Frogadier,TWM,57,Stage 1 Pokemon,,,Froakie,90,{W},{L},,1,90,1,"[{""card_id"": ""34"", ""move_name"": ""Numbing Water"", ""cost"": ""{W}"", ""damage"": ""20"", ""damage_int"": 20, ""effect"": ""Flip a coin. If heads, your opponent’s Active Pokemon is now Paralyzed.""}]",1
35,Walking Wake,TWM,63,Basic Pokemon,,Ancient,,130,{W},{L},,1,130,1,"[{""card_id"": ""35"", ""move_name"": ""Aurora Gain"", ""cost"": ""{W}"", ""damage"": ""20"", ""damage_int"": 20, ""effect"": ""Heal 20 damage from this Pokemon.""}, {""card_id"": ""35"", ""move_name"": ""Undulating Slice"", ""cost"": ""{W}{W}●"", ""damage"": ""20×"", ""damage_int"": 20, ""effect"": ""Put up to 9 damage counters on this Pokemon. This attack does 20 damage for each damage counter you placed in this way.""}]",2
36,Morpeko,TWM,72,Basic Pokemon,,,,70,{L},{F},,1,70,1,"[{""card_id"": ""36"", ""move_name"": ""[Ability] Snack Seek"", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Once during your turn, you may look at the top card of your deck. You may discard that card.""}, {""card_id"": ""36"", ""move_name"": ""Pick and Stick"", ""cost"": ""{L}"", ""damage"": """", ""damage_int"": null, ""effect"": ""Attach up to 2 Basic Energy cards from your discard pile to your Pokemon in any way you like.""}]",2
37,Iron Thorns ex,TWM,77,Basic Pokemon,Pokemon ex,Future,,230,{L},{F},,4,230,4,"[{""card_id"": ""37"", ""move_name"": ""[Ability] Initialization"", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""As long as this Pokemon is in the Active Spot, Pokemon with a Rule Box in play (both yours and your opponent’s) have no Abilities, except for Future Pokemon. (Pokemon {ex}, Pokemon {V}, etc. have Rule Boxes.)""}, {""card_id"": ""37"", ""move_name"": ""Volt Cyclone"", ""cost"": ""{L}●●"", ""damage"": ""140"", ""damage_int"": 140, ""effect"": ""Move an Energy from this Pokemon to 1 of your Benched Pokemon.""}]",2
38,Girafarig,TWM,83,Basic Pokemon,,,,100,{P},{D},{F},1,100,1,"[{""card_id"": ""38"", ""move_name"": ""Dual Headbutt"", ""cost"": ""●"", ""damage"": ""30"", ""damage_int"": 30, ""effect"": ""This attack also does 10 damage to 1 of your Benched Pokemon. (Don’t apply Weakness and Resistance for Benched Pokemon.)""}]",1
39,Enamorus,TWM,93,Basic Pokemon,,,,120,{P},{M},,1,120,1,"[{""card_id"": ""39"", ""move_name"": ""Heart Sign"", ""cost"": ""●"", ""damage"": ""30"", ""damage_int"": 30, ""effect"": """"}, {""card_id"": ""39"", ""move_name"": ""Love Resonance"", ""cost"": ""{P}●●"", ""damage"": ""80"", ""damage_int"": 80, ""effect"": ""If any of your Pokemon in play are the same type as any of your opponent’s Pokemon in play, this attack does 120 more damage.""}]",2
40,Greninja ex,TWM,106,Stage 2 Pokemon,Pokemon ex,Tera(Fighting),Frogadier,310,{F},{P},,1,310,1,"[{""card_id"": ""40"", ""move_name"": ""[Tera]"", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""As long as this Pokemon is on your Bench, prevent all damage done to this Pokemon by attacks (both yours and your opponent’s).""}, {""card_id"": ""40"", ""move_name"": ""Shinobi Blade"", ""cost"": ""{W}"", ""damage"": ""170"", ""damage_int"": 170, ""effect"": ""You may search your deck for a card and put it into your hand. Then, shuffle your deck.""}, {""card_id"": ""40"", ""move_name"": ""Mirage Barrage"", ""cost"": ""{W}●●"", ""damage"": """", ""damage_int"": null, ""effect"": ""Discard 2 Energy from this Pokemon. This attack does 120 damage to 2 of your opponent’s Pokemon. (Don’t apply Weakness and Resistance for Benched Pokemon.)""}]",3
41,Ting-Lu,TWM,110,Basic Pokemon,,,,140,{F},{G},,3,140,3,"[{""card_id"": ""41"", ""move_name"": ""Ground Crasher"", ""cost"": ""{F}"", ""damage"": ""30"", ""damage_int"": 30, ""effect"": ""If a Stadium is in play, this attack also does 30 damage to each of your opponent’s Benched Pokemon, and discard that Stadium. (Don’t apply Weakness and Resistance for Benched Pokemon.)""}, {""card_id"": ""41"", ""move_name"": ""Hammer In"", ""cost"": ""{F}{F}●"", ""damage"": ""110"", ""damage_int"": 110, ""effect"": """"}]",2
42,Applin,TWM,126,Basic Pokemon,,,,40,竜,,,1,40,1,"[{""card_id"": ""42"", ""move_name"": ""Find a Friend"", ""cost"": ""●"", ""damage"": """", ""damage_int"": null, ""effect"": ""Search your deck for a Pokemon, reveal it, and put it into your hand. Then, shuffle your deck.""}, {""card_id"": ""42"", ""move_name"": ""Rolling Tackle"", ""cost"": ""{G}{R}"", ""damage"": ""30"", ""damage_int"": 30, ""effect"": """"}]",2
43,Eevee,TWM,135,Basic Pokemon,,,,50,{C},{F},,1,50,1,"[{""card_id"": ""43"", ""move_name"": ""Ascension"", ""cost"": ""●"", ""damage"": """", ""damage_int"": null, ""effect"": ""Search your deck for a card that evolves from this Pokemon and put it onto this Pokemon to evolve it. Then, shuffle your deck.""}, {""card_id"": ""43"", ""move_name"": ""Quick Attack"", ""cost"": ""●●●"", ""damage"": ""20"", ""damage_int"": 20, ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}]",2
44,Bloodmoon Ursaluna ex,TWM,141,Basic Pokemon,Pokemon ex,,,260,{C},{F},,3,260,3,"[{""card_id"": ""44"", ""move_name"": ""[Ability] Seasoned Skill"", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Blood Moon used by this Pokemon costs {C} less for each Prize card your opponent has taken.""}, {""card_id"": ""44"", ""move_name"": ""Blood Moon"", ""cost"": ""●●●●●"", ""damage"": ""240"", ""damage_int"": 240, ""effect"": ""During your next turn, this Pokemon can’t use attacks.""}]",2
45,Shaymin,TEF,13,Basic Pokemon,,,,70,{G},{R},,,70,,"[{""card_id"": ""45"", ""move_name"": ""Pinpoint Dive"", ""cost"": ""{G}"", ""damage"": """", ""damage_int"": null, ""effect"": ""This attack does 60 damage to 1 of your opponent’s Benched Pokemon {ex} or Benched Pokemon {V}. (Don’t apply Weakness and Resistance for Benched Pokemon.)""}, {""card_id"": ""45"", ""move_name"": ""Rear Kick"", ""cost"": ""●●"", ""damage"": ""50"", ""damage_int"": 50, ""effect"": """"}]",2
46,Gouging Fire ex,TEF,38,Basic Pokemon,Pokemon ex,Ancient,,230,{R},{W},,2,230,2,"[{""card_id"": ""46"", ""move_name"": ""Heat Blast"", ""cost"": ""{R}●"", ""damage"": ""60"", ""damage_int"": 60, ""effect"": """"}, {""card_id"": ""46"", ""move_name"": ""Blaze Blitz"", ""cost"": ""{R}{R}●"", ""damage"": ""260"", ""damage_int"": 260, ""effect"": ""This Pokemon can’t use Blaze Blitz again until it leaves the Active Spot.""}]",2
47,Totodile,TEF,39,Basic Pokemon,,,,70,{W},{L},,1,70,1,"[{""card_id"": ""47"", ""move_name"": ""Big Bite"", ""cost"": ""{W}"", ""damage"": ""10"", ""damage_int"": 10, ""effect"": ""During your opponent’s next turn, the Defending Pokemon can’t retreat.""}]",1
48,Croconaw,TEF,40,Stage 1 Pokemon,,,Totodile,90,{W},{L},,2,90,2,"[{""card_id"": ""48"", ""move_name"": ""Reverse Thrust"", ""cost"": ""{W}"", ""damage"": ""30"", ""damage_int"": 30, ""effect"": ""Switch this Pokemon with 1 of your Benched Pokemon.""}]",1
49,Feraligatr,TEF,41,Stage 2 Pokemon,,,Croconaw,180,{W},{L},,3,180,3,"[{""card_id"": ""49"", ""move_name"": ""[Ability] Torrential Heart"", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Once during your turn, you may put 5 damage counters on this Pokemon. If you do, during this turn, attacks used by this Pokemon do 120 more damage to your opponent’s Active Pokemon (before applying Weakness and Resistance).""}, {""card_id"": ""49"", ""move_name"": ""Giant Wave"", ""cost"": ""{W}{W}"", ""damage"": ""160"", ""damage_int"": 160, ""effect"": ""During your next turn, this Pokemon can’t use Giant Wave.""}]",2
50,Wiglett,TEF,47,Basic Pokemon,,,,60,{W},{L},,1,60,1,"[{""card_id"": ""50"", ""move_name"": ""Lucky Find"", ""cost"": ""{W}"", ""damage"": """", ""damage_int"": null, ""effect"": ""Search your deck for an Item card, reveal it, and put it into your hand. Then, shuffle your deck.""}, {""card_id"": ""50"", ""move_name"": ""Aqua Bomb"", ""cost"": ""{W}{W}"", ""damage"": ""40"", ""damage_int"": 40, ""effect"": ""This Pokemon also does 20 damage to itself.""}]",2
51,Palafin,TEF,49,Stage 1 Pokemon,,,Finizen,150,{W},{L},,2,150,2,"[{""card_id"": ""51"", ""move_name"": ""Vanguard Punch"", ""cost"": ""{W}"", ""damage"": ""130"", ""damage_int"": 130, ""effect"": ""This Pokemon also does 10 damage to itself for each damage counter on it.""}, {""card_id"": ""51"", ""move_name"": ""Double Hit"", ""cost"": ""{W}●●"", ""damage"": ""90×"", ""damage_int"": 90, ""effect"": ""Flip 2 coins. This attack does 90 damage for each heads.""}]",2
52,Wugtrio ex,TEF,60,Stage 1 Pokemon,Pokemon ex,Tera(Lightning),Wiglett,250,{L},{F},,1,250,1,"[{""card_id"": ""52"", ""move_name"": ""[Tera]"", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""As long as this Pokemon is on your Bench, prevent all damage done to this Pokemon by attacks (both yours and your opponent’s).""}, {""card_id"": ""52"", ""move_name"": ""Tricolor Pump"", ""cost"": ""{W}"", ""damage"": """", ""damage_int"": null, ""effect"": ""Discard up to 3 Energy cards from your hand. This attack does 60 damage to 1 of your opponent’s Pokemon for each Energy card you discarded in this way. (Don’t apply Weakness and Resistance for Benched Pokemon.)""}, {""card_id"": ""52"", ""move_name"": ""Numbing Hold"", ""cost"": ""{W}{W}"", ""damage"": ""120"", ""damage_int"": 120, ""effect"": ""During your opponent’s next turn, the Defending Pokemon can’t retreat.""}]",3
53,Marill,TEF,64,Basic Pokemon,,,,70,{P},{M},,2,70,2,"[{""card_id"": ""53"", ""move_name"": ""Ball Roll"", ""cost"": ""●"", ""damage"": ""10×"", ""damage_int"": 10, ""effect"": ""Flip a coin until you get tails. This attack does 10 damage for each heads.""}, {""card_id"": ""53"", ""move_name"": ""Magical Shot"", ""cost"": ""{P}●●"", ""damage"": ""40"", ""damage_int"": 40, ""effect"": """"}]",2
54,Bronzor,TEF,68,Basic Pokemon,,,,80,{P},{D},{F},3,80,3,"[{""card_id"": ""54"", ""move_name"": ""Mirror Attack"", ""cost"": ""{P}"", ""damage"": ""10"", ""damage_int"": 10, ""effect"": ""If your opponent’s Active Pokemon is a {P} Pokemon, this attack does 30 more damage.""}]",1
55,Bronzong,TEF,69,Stage 1 Pokemon,,,Bronzor,110,{P},{D},{F},3,110,3,"[{""card_id"": ""55"", ""move_name"": ""Evolution Jammer"", ""cost"": ""{P}"", ""damage"": ""30"", ""damage_int"": 30, ""effect"": ""During your opponent’s next turn, they can’t play any Pokemon from their hand to evolve their Pokemon.""}, {""card_id"": ""55"", ""move_name"": ""Super Psy Bolt"", ""cost"": ""{P}●●"", ""damage"": ""100"", ""damage_int"": 100, ""effect"": """"}]",2
56,Flutter Mane,TEF,78,Basic Pokemon,,Ancient,,90,{P},{M},,1,90,1,"[{""card_id"": ""56"", ""move_name"": ""[Ability] Midnight Fluttering"", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""As long as this Pokemon is in the Active Spot, your opponent’s Active Pokemon has no Abilities, except for Midnight Fluttering.""}, {""card_id"": ""56"", ""move_name"": ""Hex Hurl"", ""cost"": ""●●●"", ""damage"": ""90"", ""damage_int"": 90, ""effect"": ""Put 2 damage counters on your opponent’s Benched Pokemon in any way you like.""}]",2
57,Relicanth,TEF,84,Basic Pokemon,,,,100,{F},{G},,1,100,1,"[{""card_id"": ""57"", ""move_name"": ""[Ability] Memory Dive"", ""cost"": """", ""damage"": """", ""damage_int"": null, ""effect"": ""Each of your evolved Pokemon can use any attack from its previous Evolutions. (You still need the necessary Energy to use each attack.)""}, {""card_id"": ""57"", ""move_name"": ""Razor Fin"", ""cost"": ""{F}●"", ""damage"": ""30"", ""damage_int"": 30, ""effect"": """"}]",2
58,Great Tusk,TEF,97,Basic Pokemon,,Ancient,,140,{F},{P},,3,140,3,"[{""card_id"": ""58"", ""move_name"": ""Land Collapse"", ""cost"": ""●●"", ""damage"": """", ""damage_int"": null, ""effect"": ""Discard the top card of your opponent’s deck. If you played an Ancient Supporter card from your hand during this turn, discard 3 more cards in this way.""}, {""card_id"": ""58"", ""move_name"": ""Giant Tusk"", ""cost"": ""{F}{F}●●"", ""damage"": ""160"", ""damage_int"": 160, ""effect"": """"}]",2
59,Gastly,TEF,102,Basic Pokemon,,,,60,{D},{F},,1,60,1,"[{""card_id"": ""59"", ""move_name"": ""Mysterious Beam"", ""cost"": ""{D}"", ""damage"": """", ""damage_int"": null, ""effect"": ""Flip a coin. If heads, discard an Energy from your opponent’s Active Pokemon.""}, {""card_id"": ""59"", ""move_name"": ""Suffocating Gas"", ""cost"": ""{D}{D}"", ""damage"": ""30"", ""damage_int"": 30, ""effect"": """"}]",2
60,Haunter,TEF,103,Stage 1 Pokemon,,,Gastly,90,{D},{F},,1,90,1,"[{""card_id"": ""60"", ""move_name"": ""Super Poison Breath"", ""cost"": ""{D}{D}"", ""damage"": ""30"", ""damage_int"": 30, ""effect"": ""Your opponent’s Active Pokemon is now Poisoned.""}]",1
61,Roaring Moon,TEF,109,Basic Pokemon,,Ancient,,140,{D},{G},,2,140,2,"[{""card_id"": ""61"", ""move_name"": ""Vengeance Fletching"", ""cost"": ""{D}{D}"", ""damage"": ""70"", ""damage_int"": 70, ""effect"": ""This attack does 10 more damage for each Ancient card in your discard pile.""}, {""card_id"": ""61"", ""move_name"": ""Speed Wing"", ""cost"": ""{D}●●●"", ""damage"": ""120"", ""damage_int"": 120, ""effect"": """"}]",2
62,Koraidon,TEF,119,Basic Pokemon,,Ancient,,140,竜,,,2,140,2,"[{""card_id"": ""62"", ""move_name"": ""Primordial Beatdown"", ""cost"": ""{F}●"", ""damage"": ""30×"", ""damage_int"": 30, ""effect"": ""This attack does 30 damage for each of your Ancient Pokemon in play.""}, {""card_id"": ""62"", ""move_name"": ""Shred"", ""cost"": ""{R}{F}●"", ""damage"": ""130"", ""damage_int"": 130, ""effect"": ""This attack’s damage isn’t affected by any effects on your opponent’s Active Pokemon.""}]",2
63,Raging Bolt ex,TEF,123,Basic Pokemon,Pokemon ex,Ancient,,240,竜,,,3,240,3,"[{""card_id"": ""63"", ""move_name"": ""Burst Roar"", ""cost"": ""●"", ""damage"": """", ""damage_int"": null, ""effect"": ""Discard your hand and draw 6 cards.""}, {""card_id"": ""63"", ""move_name"": ""Bellowing Thunder"", ""cost"": ""{L}{F}"", ""damage"": ""70×"", ""damage_int"": 70, ""effect"": ""You may discard any amount of Basic Energy from your Pokemon. This attack does 70 damage for each card you discarded in this way.""}]",2
64,Hoothoot,TEF,126,Basic Pokemon,,,,70,{C},{L},{F},1,70,1,"[{""card_id"": ""64"", ""move_name"": ""Silent Wing"", ""cost"": ""●●"", ""damage"": ""20"", ""damage_int"": 20, ""effect"": ""Your opponent reveals their hand.""}]",1
65,Dunsparce,TEF,128,Basic Pokemon,,,,60,{C},{F},,,60,,"[{""card_id"": ""65"", ""move_name"": ""Gnaw"", ""cost"": ""●"", ""damage"": ""10"", ""damage_int"": 10, ""effect"": """"}, {""card_id"": ""65"", ""move_name"": ""Dig"", ""cost"": ""●●"", ""damage"": ""30"", ""damage_int"": 30, ""effect"": ""Flip a coin. If heads, during your opponent’s next turn, prevent all damage from and effects of attacks done to this Pokemon.""}]",2
